#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	3178667	3179629	-	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	100.00	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	882015	882977	+	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	100.00	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	1184557	1185747	-	(Bla)beta-lactamase_class-C	1-1191/1191	===============	0/0	100.00	100.00	argannot	NC_010410:1184557-1185747	(Bla)beta-lactamase_class-C	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	1803480	1804499	-	(Bla)BlaA1	1-1020/1020	===============	0/0	100.00	100.00	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	1996441	1997136	-	(Bla)Mbl	1-696/696	===============	0/0	100.00	100.00	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	2175317	2176141	+	(Bla)blaOXA-69	1-825/825	===============	0/0	100.00	100.00	argannot	AY750911:1-825	(Bla)blaOXA-69	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	2507740	2509014	+	(Bla)BlaA2	1-1275/1275	===============	0/0	100.00	100.00	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3620148	3620987	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3621492	3622293	-	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3623865	3624398	-	(AGly)aac3-I	1-534/534	===============	0/0	100.00	99.06	argannot	X15852:1250-1783	(AGly)aac3-I	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3627048	3627863	+	(AGly)aph(3'')-Ia	1-816/816	===============	0/0	100.00	100.00	argannot	FJ172370:38668-39483	(AGly)aph(3'')-Ia	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3637354	3638013	+	(Phe)catA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)catA1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3641859	3643133	-	(Tet)tetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712	(Tet)tetA	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3643164	3643814	+	(Tet)tetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226	(Tet)tetR	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3650617	3651456	-	(Sul)sul1	1-840/840	===============	0/0	100.00	99.88	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3651834	3652397	-	(Tmt)dfrA10	1-564/564	===============	0/0	100.00	100.00	argannot	L06418:5494-6057	(Tmt)dfrA10	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3654725	3655564	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3656069	3656899	-	(AGly)aadA1-pm	1-831/831	===============	0/0	100.00	99.76	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3656877	3657677	-	(Bla)blaOXA-10	1-801/801	===============	0/0	100.00	100.00	argannot	HQ386834:1465-2265	(Bla)blaOXA-10	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3657942	3659201	-	(Phe)cmlA5	1-1260/1260	===============	0/0	100.00	100.00	argannot	HQ141279:907-2166	(Phe)cmlA5	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3659522	3659974	-	(Rif)arr2	1-453/453	===============	0/0	100.00	100.00	argannot	JQ639792:1050-1502	(Rif)arr2	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3660059	3660592	-	(AGly)aadB	1-534/534	===============	0/0	100.00	100.00	argannot	JQ690540:4275-4808	(AGly)aadB	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3660737	3661636	-	(Bla)blaVEB-1	1-900/900	===============	0/0	100.00	100.00	argannot	DQ393569:1955-2854	(Bla)blaVEB-1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3667408	3667980	-	(AGly)aac(6')-Ian	1-573/573	===============	0/0	100.00	92.15	argannot	NG_052170:101-673	(AGly)aac(6')-Ian	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3671432	3672607	-	(Tet)tetG	1-1176/1176	===============	0/0	100.00	100.00	argannot	AF133140:757-1932	(Tet)tetG	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3672711	3673319	+	(Tet)tetR(G)	1-609/633	===============	0/0	96.21	98.52	argannot	S52438:113-745	(Tet)tetR(G)	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3673545	3674758	-	(Phe)floR	1-1214/1215	===============	0/0	99.92	86.74	argannot	AKLJ01000508:383-1597	(Phe)floR	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3676916	3677389	-	(Tmt)dfrA1	1-474/474	===============	0/0	100.00	100.00	argannot	JQ794607:474	(Tmt)dfrA1	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3678820	3679656	-	(AGly)strB	1-837/837	===============	0/0	100.00	97.73	argannot	FJ474091:264-1100	(AGly)strB	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3679656	3680459	-	(AGly)strA	1-804/804	===============	0/0	100.00	97.64	argannot	AB366441:22458-23261	(AGly)strA	
../data/raw/genomes/GCF_000069245.1_ASM6924v1_genomic.fna.gz	NC_010410.1	3768353	3769141	-	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	98.86	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	163989	164777	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	99.11	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	1382767	1384041	-	(Bla)BlaA2	1-1275/1275	===============	0/0	100.00	95.77	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	1632442	1633266	-	(Bla)blaOXA-180	1-825/825	===============	0/0	100.00	100.00	argannot	HM570036:1-825	(Bla)blaOXA-180	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	1818286	1818981	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	96.55	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	1988935	1989952	+	(Bla)BlaA1	1-1018/1020	===============	0/0	99.80	93.61	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	2555567	2556718	+	(Bla)blaADC-2	1-1152/1152	===============	0/0	100.00	98.26	argannot	NG_048644:101-1252	(Bla)blaADC-2	
../data/raw/genomes/GCF_000186665.3_ASM18666v4_genomic.fna.gz	NC_020547.2	2846198	2847140	-	(Bla)Zn-dependent_hydrolase	1-943/963	===============	0/0	97.92	98.20	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	841585	842547	+	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	98.86	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1196033	1197184	-	(Bla)blaADC-30	1-1152/1152	===============	0/0	100.00	99.91	argannot	JF265068:955-2106	(Bla)blaADC-30	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1378669	1379301	+	(Phe)catB8	1-633/633	===============	0/0	100.00	100.00	argannot	AF227506:253-885	(Phe)catB8	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1379349	1380150	+	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1380655	1381494	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1384839	1385612	+	(AGly)armA	1-774/774	===============	0/0	100.00	100.00	argannot	AY220558:1978-2751	(AGly)armA	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1387911	1389386	+	(MLS)msr(E)	1-1476/1476	===============	0/0	100.00	100.00	argannot	JF769133:7246-8721	(MLS)msr(E)	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1389442	1390326	+	(MLS)mph(E)	1-885/885	===============	0/0	100.00	99.89	argannot	JF769133:8777-9661	(MLS)mph(E)	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	1839012	1840029	-	(Bla)BlaA1	1-1018/1020	===============	0/0	99.80	91.94	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2036187	2036882	-	(Bla)Mbl	1-696/696	===============	0/0	100.00	98.56	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2221153	2221977	+	(Bla)blaOXA-66	1-825/825	===============	0/0	100.00	100.00	argannot	EF051061:485-1309	(Bla)blaOXA-66	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2538778	2540043	+	(Bla)BlaA2	6-1274/1275	========/======	1/3	99.29	96.38	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2665172	2665705	+	(AGly)aac3-I	1-534/534	===============	0/0	100.00	99.06	argannot	X15852:1250-1783	(AGly)aac3-I	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2667815	2668616	+	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	2669121	2669960	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	3675031	3675833	+	(AGly)strA	1-804/804	========/======	1/1	99.88	99.88	argannot	AB366441:22458-23261	(AGly)strA	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	3675833	3676669	+	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	3680042	3681241	+	(Tet)tetB	1-1200/1206	===============	0/0	99.50	99.75	argannot	AB089594:1-1206	(Tet)tetB	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	3693865	3694680	-	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017847.1	3786473	3787261	-	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	99.11	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000187205.2_ASM18720v4_genomic.fna.gz	NC_017848.1	62371	63190	+	(Bla)blaOXA-23	1-822/822	========/======	1/2	99.76	99.76	argannot	EF120622:1499-2320	(Bla)blaOXA-23	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	184146	184934	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	97.97	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	277507	278322	+	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	280935	281771	-	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	281771	282574	-	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	284911	285837	-	(Bla)blaPER-1	1-927/927	===============	0/0	100.00	100.00	argannot	EF535600:1-927	(Bla)blaPER-1	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	288687	289490	-	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	1243681	1244520	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	1247288	1247839	+	(AGly)aac6-Iaf	1-552/552	===============	0/0	100.00	98.01	argannot	AB462903:1200-1751	(AGly)aac6-Iaf	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	1684950	1685483	+	(AGly)aac3-I	1-534/534	===============	0/0	100.00	99.06	argannot	X15852:1250-1783	(AGly)aac3-I	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	1808016	1809281	-	(Bla)BlaA2	6-1274/1275	========/======	1/3	99.29	96.38	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	2132285	2133109	-	(Bla)blaOXA-109	1-825/825	===============	0/0	100.00	100.00	argannot	FJ157357:1-825	(Bla)blaOXA-109	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	2318564	2319259	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	98.56	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	2516131	2517148	+	(Bla)BlaA1	1-1018/1020	===============	0/0	99.80	91.94	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	2803997	2805148	+	(Bla)blaADC-25	1-1152/1152	===============	0/0	100.00	99.83	argannot	EF016355:1-1152	(Bla)blaADC-25	
../data/raw/genomes/GCF_000188215.1_ASM18821v1_genomic.fna.gz	NC_017162.1	3111008	3111970	-	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	98.86	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	55139	56290	+	(Bla)blaADC-30	1-1152/1152	===============	0/0	100.00	100.00	argannot	JF265068:955-2106	(Bla)blaADC-30	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	398027	398989	-	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	98.86	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	1416006	1416794	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	97.97	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	1509378	1510193	+	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	1522817	1524016	-	(Tet)tetB	1-1200/1206	===============	0/0	99.50	99.75	argannot	AB089594:1-1206	(Tet)tetB	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	1527389	1528225	-	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	1528225	1529028	-	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	2307664	2308485	+	(Bla)blaOXA-23	1-822/822	===============	0/0	100.00	100.00	argannot	EF120622:1499-2320	(Bla)blaOXA-23	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	2585785	2586624	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	2587129	2587930	-	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	2589502	2590035	-	(AGly)aac3-I	1-534/534	===============	0/0	100.00	99.06	argannot	X15852:1250-1783	(AGly)aac3-I	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	2712979	2714244	-	(Bla)BlaA2	6-1274/1275	========/======	1/3	99.29	96.38	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	3029861	3030685	-	(Bla)blaOXA-66	1-825/825	===============	0/0	100.00	100.00	argannot	EF051061:485-1309	(Bla)blaOXA-66	
../data/raw/genomes/GCF_000226275.2_ASM22627v2_genomic.fna.gz	NC_017171.2	3217512	3218207	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	98.56	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
