assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000419425.1	PRJNA224116	SAMN02604246	na	na	1096997	470	Acinetobacter baumannii BJAB0868	strain=BJAB0868	na	latest	Complete Genome	Major	Full	2013-07-09	ASM41942v1	University of Texas at Dallas	GCA_000419425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/425/GCF_000419425.1_ASM41942v1/	na	na	na	haploid	bacteria	4005822	4005822	39.000000	4	4	4	NCBI RefSeq	GCF_000419425.1-RS_2025_04_22	2025-04-22	3845	3648	97	23826102
GCF_000498375.2	PRJNA224116	SAMN02470137	na	na	1370126	470	Acinetobacter baumannii DU202	strain=DU202	na	latest	Complete Genome	Major	Full	2016-09-16	ASM49837v2	Korea Basic Science Institute	GCA_000498375.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/375/GCF_000498375.2_ASM49837v2/	na	na	na	haploid	bacteria	4178958	4178958	39.500000	1	1	1	NCBI RefSeq	GCF_000498375.2-RS_2026_03_08	2026-03-08	4128	3859	99	24486871
GCF_000505685.1	PRJNA224116	SAMN02641530	na	na	1400867	470	Acinetobacter baumannii ZW85-1	strain=ZW85-1	na	latest	Complete Genome	Major	Full	2013-12-11	ASM50568v2	Beijing Institute of Genomics, Chinese Academy of Sciences	GCA_000505685.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/505/685/GCF_000505685.1_ASM50568v2/	na	na	na	haploid	bacteria	3925246	3925246	39.000000	3	3	3	NCBI RefSeq	GCF_000505685.1-RS_2025_12_25	2025-12-25	3712	3534	93	24459253
GCF_000695855.3	PRJNA224116	SAMN02714232	na	na	470	470	Acinetobacter baumannii	strain=AC29	na	latest	Complete Genome	Major	Full	2015-04-06	ASM69585v3	Universiti Sultan Zainal Abidin	GCA_000695855.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/855/GCF_000695855.3_ASM69585v3/	na	na	na	haploid	bacteria	3935134	3935134	39.000000	3	3	3	NCBI RefSeq	GCF_000695855.3-RS_2025_08_07	2025-08-07	3807	3640	70	26779129
GCF_000746605.1	PRJNA224116	SAMN02940901	na	na	470	470	Acinetobacter baumannii	strain=AB31	na	latest	Complete Genome	Major	Full	2014-08-29	ASM74660v1	University of Manitoba	GCA_000746605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/605/GCF_000746605.1_ASM74660v1/	na	na	na	haploid	bacteria	3803317	3803317	39.000000	1	1	1	NCBI RefSeq	GCF_000746605.1-RS_2026_02_09	2026-02-09	3628	3469	95	25323714
GCF_000746645.1	PRJNA224116	SAMN02940899	na	na	470	470	Acinetobacter baumannii	strain=AB30	na	latest	Complete Genome	Major	Full	2014-08-29	ASM74664v1	University of Manitoba	GCA_000746645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1/	na	na	na	haploid	bacteria	4335793	4335793	39.000000	1	1	1	NCBI RefSeq	GCF_000746645.1-RS_2026_02_09	2026-02-09	4310	4093	97	25323713
GCF_000761175.1	PRJNA224116	SAMN03075316	na	na	470	470	Acinetobacter baumannii	strain=Strain AbH12O-A2	na	latest	Complete Genome	Major	Full	2014-10-01	ASM76117v1	University Hospital- Biomedical Research Institute	GCA_000761175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/175/GCF_000761175.1_ASM76117v1/	na	na	na	haploid	bacteria	3875775	3875775	39.000000	1	1	1	NCBI RefSeq	GCF_000761175.1-RS_2025_12_27	2025-12-27	3705	3550	95	25395646
GCF_000786735.1	PRJNA224116	SAMN02709859	na	na	1455315	470	Acinetobacter baumannii LAC-4	strain=LAC-4	na	latest	Complete Genome	Major	Full	2014-11-25	ASM78673v1	California State University, Los Angeles	GCA_000786735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/735/GCF_000786735.1_ASM78673v1/	na	na	na	haploid	bacteria	3968436	3968436	39.000000	3	3	3	NCBI RefSeq	GCF_000786735.1-RS_2025_04_22	2025-04-22	3839	3595	94	25728466
GCF_000794125.2	PRJNA224116	SAMN03105183	na	na	470	470	Acinetobacter baumannii	strain=AB6870155	na	latest	Complete Genome	Major	Full	2022-12-21	ASM79412v2	Macquarie University	GCA_000794125.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/794/125/GCF_000794125.2_ASM79412v2/	na	na	na	haploid	bacteria	4003329	4003329	39.000000	4	4	4	NCBI RefSeq	GCF_000794125.2-RS_2026_05_05	2026-05-05	3884	3727	96	25422040
GCF_000814345.1	PRJNA224116	SAMN03263969	na	na	470	470	Acinetobacter baumannii	strain=6200	na	latest	Complete Genome	Major	Full	2015-01-05	ASM81434v1	JCVI	GCA_000814345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/345/GCF_000814345.1_ASM81434v1/	na	na	na	haploid	bacteria	4073976	4073976	39.000000	4	4	4	NCBI RefSeq	GCF_000814345.1-RS_2026_02_10	2026-02-10	3934	3752	96	na
GCF_000828795.1	PRJNA224116	SAMD00061019	na	na	1401639	470	Acinetobacter baumannii NCGM 237	strain=NCGM 237	na	latest	Complete Genome	Major	Full	2013-09-26	ASM82879v1	Department of Infectious Diseases, National Center for Global Health and Medicine	GCA_000828795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/795/GCF_000828795.1_ASM82879v1/	na	na	na	haploid	bacteria	4021920	4021920	39.000000	1	1	1	NCBI RefSeq	GCF_000828795.1-RS_2026_01_21	2026-01-21	3923	3729	97	24550340
GCF_000828935.1	PRJNA224116	SAMD00020223	na	na	470	470	Acinetobacter baumannii	strain=IOMTU433	na	latest	Complete Genome	Major	Full	2014-10-02	ASM82893v1	National Center for Global Health and Medicine	GCA_000828935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/935/GCF_000828935.1_ASM82893v1/	na	na	na	haploid	bacteria	4190324	4190324	39.000000	2	2	2	NCBI RefSeq	GCF_000828935.1-RS_2026_04_17	2026-04-17	4026	3858	96	26471294
GCF_000830055.1	PRJNA224116	SAMN03248539	na	na	470	470	Acinetobacter baumannii	strain=A1	na	latest	Complete Genome	Major	Full	2015-01-29	ASM83005v1	University of Melbourne	GCA_000830055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/055/GCF_000830055.1_ASM83005v1/	na	na	na	haploid	bacteria	3917739	3917739	39.500000	2	2	2	NCBI RefSeq	GCF_000830055.1-RS_2026_02_24	2026-02-24	3775	3625	95	25767221
GCF_000963815.1	PRJNA224116	SAMN02894434	na	na	470	470	Acinetobacter baumannii	strain=AB5075-UW	na	latest	Complete Genome	Major	Full	2015-03-27	ASM96381v1	University of Washington	GCA_000963815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/815/GCF_000963815.1_ASM96381v1/	na	na	na	haploid	bacteria	4066980	4066980	39.000000	4	4	4	NCBI RefSeq	GCF_000963815.1-RS_2025_12_28	2025-12-28	3963	3812	96	25845845
GCF_001026965.1	PRJNA224116	SAMN03290686	na	na	470	470	Acinetobacter baumannii	strain=XH386	na	latest	Complete Genome	Major	Full	2015-06-03	ASM102696v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001026965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/965/GCF_001026965.1_ASM102696v1/	na	na	na	haploid	bacteria	4199500	4199500	39.000000	2	2	2	NCBI RefSeq	GCF_001026965.1-RS_2025_12_25	2025-12-25	4090	3922	97	26981403
GCF_001077555.2	PRJNA224116	SAMN03770534	na	na	470	470	Acinetobacter baumannii	strain=B8342	na	latest	Complete Genome	Major	Full	2017-05-23	ASM107755v2	University of Kansas Medical Center	GCA_001077555.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/555/GCF_001077555.2_ASM107755v2/	na	na	na	haploid	bacteria	3947826	3947826	39.000000	1	1	1	NCBI RefSeq	GCF_001077555.2-RS_2026_01_21	2026-01-21	3826	3612	96	26294630
GCF_001077655.1	PRJNA224116	SAMN03817045	na	na	470	470	Acinetobacter baumannii	strain=Ab04-mff	na	latest	Complete Genome	Major	Full	2015-07-14	ASM107765v1	University of Alberta	GCA_001077655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/655/GCF_001077655.1_ASM107765v1/	na	na	na	haploid	bacteria	4192280	4192280	39.000000	3	3	3	NCBI RefSeq	GCF_001077655.1-RS_2026_01_21	2026-01-21	4099	3885	95	26170289
GCF_001077675.1	PRJNA224116	SAMN03817043	na	na	470	470	Acinetobacter baumannii	strain=ATCC 17978-mff	na	latest	Complete Genome	Major	Full	2015-07-14	ASM107767v1	University of Alberta	GCA_001077675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/675/GCF_001077675.1_ASM107767v1/	na	na	na	haploid	bacteria	4006698	4006698	39.000000	2	2	2	NCBI RefSeq	GCF_001077675.1-RS_2025_12_08	2025-12-08	3832	3675	94	26170289
GCF_001077965.2	PRJNA224116	SAMN03771402	na	na	470	470	Acinetobacter baumannii	strain=B8300	na	latest	Complete Genome	Major	Full	2017-05-31	ASM107796v2	University of Kansas Medical Center	GCA_001077965.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/965/GCF_001077965.2_ASM107796v2/	na	na	na	haploid	bacteria	3850058	3850058	39.500000	2	2	2	NCBI RefSeq	GCF_001077965.2-RS_2026_01_21	2026-01-21	3740	3470	96	26294640
GCF_001261895.2	PRJNA224116	SAMEA3751109	na	na	470	470	Acinetobacter baumannii	na	R2090	latest	Complete Genome	Major	Full	2015-07-23	R2090	CEBITEC	GCA_001261895.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/895/GCF_001261895.2_R2090/	na	na	na	haploid	bacteria	3819158	3819158	39.000000	1	1	1	NCBI RefSeq	GCF_001261895.2-RS_2026_02_09	2026-02-09	3702	3533	95	na
GCF_001399655.1	PRJNA224116	SAMN04029125	na	na	470	470	Acinetobacter baumannii	strain=D36	na	latest	Complete Genome	Major	Full	2015-10-19	ASM139965v1	The University of Sydney	GCA_001399655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/655/GCF_001399655.1_ASM139965v1/	na	na	na	haploid	bacteria	4131161	4131161	39.000000	5	5	5	NCBI RefSeq	GCF_001399655.1-RS_2026_01_21	2026-01-21	3998	3812	96	26679588
GCF_001457535.1	PRJNA224116	SAMEA3449716	na	na	470	470	Acinetobacter baumannii	na	CIP70.10	latest	Complete Genome	Major	Full	2015-06-23	CIP70.10	CEBITEC	GCA_001457535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/535/GCF_001457535.1_CIP70.10/	na	na	na	haploid	bacteria	3936255	3936255	39.000000	2	2	2	NCBI RefSeq	GCF_001457535.1-RS_2025_12_25	2025-12-25	3713	3557	94	na
GCF_001514375.1	PRJNA224116	SAMN03941550	na	na	470	470	Acinetobacter baumannii	strain=KBN10P02143	na	latest	Complete Genome	Major	Full	2016-01-14	ASM151437v1	Kyungpook national university hospital	GCA_001514375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/375/GCF_001514375.1_ASM151437v1/	na	na	na	haploid	bacteria	4139396	4139396	39.000000	2	2	2	NCBI RefSeq	GCF_001514375.1-RS_2026_03_07	2026-03-07	4033	3849	95	27143492
GCF_001517645.1	PRJNA224116	SAMEA3715145	na	na	470	470	Acinetobacter baumannii	na	R2091	latest	Complete Genome	Major	Full	2016-01-15	R2091	CEBITEC	GCA_001517645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/517/645/GCF_001517645.1_R2091/	na	na	na	haploid	bacteria	3947488	3947488	39.000000	2	2	2	NCBI RefSeq	GCF_001517645.1-RS_2025_12_07	2025-12-07	3726	3571	94	na
GCF_001543995.1	PRJNA224116	SAMN04448797	na	na	470	470	Acinetobacter baumannii	strain=YU-R612	na	latest	Complete Genome	Major	Full	2016-02-02	ASM154399v1	Yonsei university college of medicine	GCA_001543995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/995/GCF_001543995.1_ASM154399v1/	na	na	na	haploid	bacteria	4155251	4155251	39.000000	3	3	3	NCBI RefSeq	GCF_001543995.1-RS_2026_01_21	2026-01-21	4061	3875	97	27139604
GCF_001573065.1	PRJNA224116	SAMN03890258	na	na	470	470	Acinetobacter baumannii	strain=XH860	na	latest	Complete Genome	Major	Full	2016-02-25	ASM157306v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001573065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/065/GCF_001573065.1_ASM157306v1/	na	na	na	haploid	bacteria	3846621	3846621	39.000000	1	1	1	NCBI RefSeq	GCF_001573065.1-RS_2026_03_03	2026-03-03	3691	3520	96	na
GCF_001573085.1	PRJNA224116	SAMN03890257	na	na	470	470	Acinetobacter baumannii	strain=XH859	na	latest	Complete Genome	Major	Full	2016-02-25	ASM157308v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001573085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/085/GCF_001573085.1_ASM157308v1/	na	na	na	haploid	bacteria	3977071	3977071	39.000000	1	1	1	NCBI RefSeq	GCF_001573085.1-RS_2026_03_07	2026-03-07	3806	3610	95	na
GCF_001573105.1	PRJNA224116	SAMN03890255	na	na	470	470	Acinetobacter baumannii	strain=XH857	na	latest	Complete Genome	Major	Full	2016-02-25	ASM157310v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001573105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/105/GCF_001573105.1_ASM157310v1/	na	na	na	haploid	bacteria	3879636	3879636	39.000000	1	1	1	NCBI RefSeq	GCF_001573105.1-RS_2026_03_07	2026-03-07	3713	3522	95	na
GCF_001573125.1	PRJNA224116	SAMN03890253	na	na	470	470	Acinetobacter baumannii	strain=XH856	na	latest	Complete Genome	Major	Full	2016-02-25	ASM157312v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001573125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/125/GCF_001573125.1_ASM157312v1/	na	na	na	haploid	bacteria	3908399	3908399	39.000000	1	1	1	NCBI RefSeq	GCF_001573125.1-RS_2026_03_03	2026-03-03	3741	3574	95	na
GCF_001578145.1	PRJNA224116	SAMN03890256	na	na	470	470	Acinetobacter baumannii	strain=XH858	na	latest	Complete Genome	Major	Full	2016-03-01	ASM157814v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_001578145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/145/GCF_001578145.1_ASM157814v1/	na	na	na	haploid	bacteria	4172609	4172609	39.000000	1	1	1	NCBI RefSeq	GCF_001578145.1-RS_2026_03_07	2026-03-07	4043	3842	96	na
GCF_001593425.2	PRJNA224116	SAMN04273153	na	na	470	470	Acinetobacter baumannii	strain=ATCC 17978-VU	na	latest	Complete Genome	Major	Full	2016-12-19	ASM159342v2	University of Manitoba	GCA_001593425.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/425/GCF_001593425.2_ASM159342v2/	na	na	na	haploid	bacteria	4004792	4004792	39.000000	1	1	1	NCBI RefSeq	GCF_001593425.2-RS_2026_04_26	2026-04-26	3835	3675	94	25136007
GCF_001636235.1	PRJNA224116	SAMN04485290	na	na	470	470	Acinetobacter baumannii	strain=3207	na	latest	Complete Genome	Major	Full	2016-05-03	ASM163623v1	Center for Genomic Sciences, National Autonomous University of Mexico (UNAM)	GCA_001636235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/235/GCF_001636235.1_ASM163623v1/	na	na	na	haploid	bacteria	4092036	4092036	39.000000	3	3	3	NCBI RefSeq	GCF_001636235.1-RS_2026_03_07	2026-03-07	4015	3804	96	27340065
GCF_001668465.2	PRJNA224116	SAMN05238697	na	na	470	470	Acinetobacter baumannii	strain=ABUH773	na	latest	Complete Genome	Major	Full	2019-01-22	ASM166846v2	JCVI	GCA_001668465.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/668/465/GCF_001668465.2_ASM166846v2/	na	na	na	haploid	bacteria	3885710	3885710	39.000000	2	2	2	NCBI RefSeq	GCF_001668465.2-RS_2026_01_21	2026-01-21	3715	3529	95	na
GCF_001669145.2	PRJNA224116	SAMN05238672	na	na	470	470	Acinetobacter baumannii	strain=ABUH793	na	latest	Complete Genome	Major	Full	2019-01-22	ASM166914v2	JCVI	GCA_001669145.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/669/145/GCF_001669145.2_ASM166914v2/	na	na	na	haploid	bacteria	4107868	4107868	39.000000	4	4	4	NCBI RefSeq	GCF_001669145.2-RS_2026_01_21	2026-01-21	3980	3785	89	na
GCF_001674475.2	PRJNA224116	SAMN05238628	na	na	470	470	Acinetobacter baumannii	strain=ABUH763	na	latest	Complete Genome	Major	Full	2019-01-22	ASM167447v2	JCVI	GCA_001674475.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/674/475/GCF_001674475.2_ASM167447v2/	na	na	na	haploid	bacteria	4014469	4014469	39.000000	3	3	3	NCBI RefSeq	GCF_001674475.2-RS_2026_01_20	2026-01-20	3869	3691	91	na
GCF_001674505.2	PRJNA224116	SAMN05238571	na	na	470	470	Acinetobacter baumannii	strain=ABUH796	na	latest	Complete Genome	Major	Full	2019-01-22	ASM167450v2	JCVI	GCA_001674505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/674/505/GCF_001674505.2_ASM167450v2/	na	na	na	haploid	bacteria	3943749	3943749	39.000000	2	2	2	NCBI RefSeq	GCF_001674505.2-RS_2026_01_21	2026-01-21	3776	3587	87	na
GCF_001721705.1	PRJNA224116	SAMN04018777	na	na	470	470	Acinetobacter baumannii	strain=CA-17	na	latest	Complete Genome	Major	Full	2016-09-08	ASM172170v1	Monash University	GCA_001721705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/705/GCF_001721705.1_ASM172170v1/	na	na	na	haploid	bacteria	3719282	3719282	39.000000	1	1	1	NCBI RefSeq	GCF_001721705.1-RS_2026_03_07	2026-03-07	3505	3364	95	na
GCF_001806345.1	PRJNA224116	SAMN05601665	na	na	470	470	Acinetobacter baumannii	strain=KAB01	na	latest	Complete Genome	Major	Full	2016-10-21	ASM180634v1	Korea Basic Science Institute	GCA_001806345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/345/GCF_001806345.1_ASM180634v1/	na	na	na	haploid	bacteria	4034092	4034092	39.000000	2	2	2	NCBI RefSeq	GCF_001806345.1-RS_2026_03_07	2026-03-07	3885	3647	95	na
GCF_001806365.1	PRJNA224116	SAMN05601667	na	na	470	470	Acinetobacter baumannii	strain=KAB02	na	latest	Complete Genome	Major	Full	2016-10-21	ASM180636v1	Korea Basic Science Institute	GCA_001806365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/365/GCF_001806365.1_ASM180636v1/	na	na	na	haploid	bacteria	4086205	4086205	39.000000	2	2	2	NCBI RefSeq	GCF_001806365.1-RS_2026_03_05	2026-03-05	3975	3802	95	na
GCF_001806385.1	PRJNA224116	SAMN05601668	na	na	470	470	Acinetobacter baumannii	strain=KAB03	na	latest	Complete Genome	Major	Full	2016-10-21	ASM180638v1	Korea Basic Science Institute	GCA_001806385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/385/GCF_001806385.1_ASM180638v1/	na	na	na	haploid	bacteria	4056960	4056960	39.000000	2	2	2	NCBI RefSeq	GCF_001806385.1-RS_2026_03_07	2026-03-07	3915	3712	95	na
GCF_001806405.1	PRJNA224116	SAMN05601669	na	na	470	470	Acinetobacter baumannii	strain=KAB04	na	latest	Complete Genome	Major	Full	2016-10-21	ASM180640v1	Korea Basic Science Institute	GCA_001806405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/405/GCF_001806405.1_ASM180640v1/	na	na	na	haploid	bacteria	4128124	4128124	39.000000	2	2	2	NCBI RefSeq	GCF_001806405.1-RS_2026_03_07	2026-03-07	4032	3824	96	na
GCF_001806445.1	PRJNA224116	SAMN05601671	na	na	470	470	Acinetobacter baumannii	strain=KAB06	na	latest	Complete Genome	Major	Full	2016-10-21	ASM180644v1	Korea Basic Science Institute	GCA_001806445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/445/GCF_001806445.1_ASM180644v1/	na	na	na	haploid	bacteria	4038715	4038715	39.000000	2	2	2	NCBI RefSeq	GCF_001806445.1-RS_2026_03_07	2026-03-07	3925	3730	96	na
